id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 76039,"Кофе Illy темная обжарка в зернах, 250г",1 090,1 499,JACOBS,https://online.metro-cc.ru/products/v-zernah-illy-temnaya-obzharka-250g
 120484,"Кофе Poetti Leggenda Oro в зернах, 1кг",2 089,,RIOBA,https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-oro-v-zernah
 224734,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 900г",2 849,,MONARCH,https://online.metro-cc.ru/products/kofe-nescafe-gold-rastvorimiy-sublimirovanniy-s-dobavleniem-naturalnogo-zharenogo-molotogo-kofe-900g
 415027,"Кофе Monarch Brazilian Selection растворимый, 180г",1 029,,NESCAFE,https://online.metro-cc.ru/products/kofe-monarch-brazilian-selection-rastvorimyy-180g
 448263,"Кофе Kimbo Integrity Bio в зернах, 1кг",2 349,,JACOBS,https://online.metro-cc.ru/products/kimbo-integrity-bio-1-kg
 637204,"Кофе Jacobs Crema в зернах, 1кг",1 249,1 489,L'OR,https://online.metro-cc.ru/products/jacobs-crema-zernovoj-1kg
 120511,"Кофе Monarch Milligrano растворимый с молотым, 200г",449,509,RIOBA,https://online.metro-cc.ru/products/kofe-monarch-milligrano-rastvorimyy-s-molotym-200g
 227302,"Кофе Nescafe Gold растворимый, 95г",279,329,ЧЕРНАЯ КАРТА,https://online.metro-cc.ru/products/nescafe-gold-steklo-95g-415027
 133439,"Кофе Julius Meinl Президент классическая коллекция в зернах, 250г",409,499,RIOBA,https://online.metro-cc.ru/products/julius-meinl-president-250g
 226466,"Кофе Nescafe Gold Barista растворимый, 85г",279,329,ALTA ROMA,https://online.metro-cc.ru/products/nescafe-gold-v-rastvorimom-barista-85g
 32062,"Напиток кофейный MacCoffee The Original coffee mix 3 в 1 растворимый 100 пакетиков, 2кг",1 639,,CARTE NOIRE,https://online.metro-cc.ru/products/maccoffee-napitok-kofejnyj-porcionnyj-the-original-coffee-mix-3v1-100-20g
